Country,Population,PopUnder15,PopOver60,HealthExp,AdultMortalityRate,HealthyLifeBirth,HealthyLifeBirthM,HealthyLifeBirthF,HealthyLife60,HealthyLife60M,HealthyLife60F,DoctorsPer100,NursesPer100,BasicSanitation,HighBloodPressure,HealthExpGDP,HealthExpUS,HealthExpPPP,HealthExpOPP,CleanWater,HealthRisks,CleanCities,PollPulmDisease,PollHeartDisease,PollRespInfect,PollStroke,PollsTBLCancer,PollTotalDeaths,TotalObesityPrev,ObesityPrevM,ObesityPrevF,DailyTobaccoUse,DailyTobaccoUseM,DailyTobaccoUseF,DailyTobaccoSmoke,DailyTobaccoSmokeM,DailyTobaccoSmokeF,DailyCigSmoke,DailyCigSmokeM,DailyCigSmokeF
Mozambique,28829,45,4,8.81,336,52.2,50.3,53.9,13,12.3,13.5,0.408,6.376,29,29.1,4.9,21.1,61.8,1.6,56,60,18.4,4,11,38,11,1,64,7.2,3.3,10.5,11.2,18.1,4.3,12.1,20.8,3.3,9.6,17.8,1.3
Myanmar,52885,27.4,14,3.59,195,58.4,56.9,59.9,12,11.3,12.6,0,0,64,24.6,4.7,58,287.6,44.2,82,64,34.6,24,24,24,34,9,116,5.8,4,7.3,36.8,58.3,15.3,15.3,27.3,3.3,8.5,15.5,1.6
Namibia,2480,36.9,0.4,13.86,296,55.9,53.8,57.9,12.8,11.6,13.7,0,18.856,35,28.5,8.6,447.3,895.4,34.6,83,59,21,9,18,33,13,1,75,17.2,7.5,25.4,13.9,22.7,5.1,16.8,27.5,6,11.5,19.7,3.2
Netherlands,16987,16.6,12,20.86,59,72.1,71.3,72.8,18.9,17.8,19.9,34.917,107.489,98,18.7,10.1,4911.4,5513.1,544.5,100,90,12.1,7,12,3,5,5,31,20.4,20.8,20,18,20,16,18,20,16,17.3,19.2,15.5
New Zealand,4661,19.8,2.7,23.36,66,72.8,71.8,73.9,20.3,19.4,21.2,32.961,119.905,100,16.2,9.2,3937.2,3767.5,534.6,100,90,5.8,2,7,1,2,1,14,30.8,30.1,31.4,13.1,14.3,11.9,13.1,14.3,11.9,12.6,13.8,11.4
Niger,20673,50.2,2.5,7.57,250,52.5,52,53.1,11.9,11.5,12.4,0.472,2.038,14,33.4,7.7,29.3,78.9,14,50,39,73,7,23,92,16,0,140,5.5,2.5,8.7,6.9,13.2,0.7,4.4,8.6,0.1,5.6,11.3,0
Nigeria,185990,44.1,24,8.17,352,48.9,48.7,49.2,10.7,10.5,10.9,0,0,39,23.9,3.8,73.9,221.1,57.1,71,51,46.3,7,26,108,15,0,159,8.9,4.6,13.1,3.9,7.4,0.4,2.9,5.6,0.2,2.8,5.6,0.1
Norway,5255,17.8,3.3,18.21,55,73,71.8,74.3,19.6,18.4,20.7,26.474,178.622,98,19.7,10.4,7936.4,6518.9,1125.2,100,93,7.8,4,9,2,3,1,19,23.1,23.6,22.5,9.3,11,7.5,12.8,13,12.6,10,10.1,10
Oman,4425,22,0.5,6.76,96,65.6,64,67.7,14.6,13.2,16.1,20.889,45.3,100,24.8,3.8,587.6,1590.8,39.3,92,86,36.2,1,15,3,3,1,22,27,22.9,33.7,7.4,14.5,0.4,6.4,12.6,0.2,4.5,8.8,0.1
Pakistan,193203,34.9,37.1,4.73,159,57.7,57.6,57.9,13,13,12.9,9.262,4.752,60,30.5,2.9,44.6,160.6,26.9,91,49,56.2,16,48,27,20,2,113,8.6,6,11.3,15.7,26.3,5.1,15.7,29.2,2.2,10.5,20.1,0.9
