Country,Population,PopUnder15,PopOver60,HealthExp,AdultMortalityRate,HealthyLifeBirth,HealthyLifeBirthM,HealthyLifeBirthF,HealthyLife60,HealthyLife60M,HealthyLife60F,DoctorsPer100,NursesPer100,BasicSanitation,HighBloodPressure,HealthExpGDP,HealthExpUS,HealthExpPPP,HealthExpOPP,CleanWater,HealthRisks,CleanCities,PollPulmDisease,PollHeartDisease,PollRespInfect,PollStroke,PollsTBLCancer,PollTotalDeaths,TotalObesityPrev,ObesityPrevM,ObesityPrevF,DailyTobaccoUse,DailyTobaccoUseM,DailyTobaccoUseF,DailyTobaccoSmoke,DailyTobaccoSmokeM,DailyTobaccoSmokeF,DailyCigSmoke,DailyCigSmokeM,DailyCigSmokeF
Brunei Darussalam,423,23.4,0.1,6.47,98,67.9,67,68.8,15.8,15.1,16.5,17.812,66.426,96,18.9,2.4,671.4,1875,34.8,100,67,5.8,1,5,1,2,0,9,14.1,12.5,15.7,11.5,21.3,1.8,11.5,21.3,1.8,10.3,19.2,1.4
Bulgaria,7131,14.1,5.6,10.95,135,66.4,63.5,69.2,15.1,13.2,16.8,40.332,48.156,86,28.4,8.1,663.7,1689.7,309,99,64,20.8,12,79,5,37,8,141,25,25.5,24.3,30,34.4,25.7,30,34.4,25.7,27.6,32,23.2
Burkina Faso,18646,45.4,2.1,11.16,255,52.9,52.7,53.1,11.7,11.3,12,0.657,6.698,19,32.6,6.9,44.4,129.1,14.1,48,44,36.3,4,21,55,11,1,93,5.6,2.6,8.1,13.9,21.6,6.2,10.6,19.6,1.6,5.3,10.3,0.3
Burundi,10524,44.9,1.3,13.19,290,52.6,51.2,54,12.3,11.8,12.8,0.5,6.66,46,29.2,7.5,23.5,59.2,6,61,48,35.6,7,17,61,14,0,100,5.4,2.1,8.6,9.8,14.5,5.1,7,12.6,1.4,5.8,11,0.7
Cambodia,15762,31.4,3.1,6.13,170,60.8,59.4,62.1,12.8,12.2,13.2,0,5.889,59,26.1,5.9,82.1,238.2,49.6,79,50,24.9,8,21,29,25,4,87,3.9,2.7,4.8,18.4,30.9,5.9,15.3,28.8,1.7,13.7,25.9,1.6
Canada,36290,16,24,18.77,63,73.2,72,74.3,20.5,19.4,21.6,23.105,98.803,99,13.2,10.6,4754.9,4928.6,676.1,99,99,6.7,3,8,1,2,2,15,29.4,29.5,29.3,11.2,13.8,8.5,9.3,11,7.5,9.2,11,7.5
Chad,14453,47.4,1.7,8.97,360,47.2,46.5,48,11.6,11.2,11.9,0.493,2.525,8,32.9,4.5,29.7,87.3,17.3,39,30,50.8,7,24,130,17,0,181,6.1,3.1,8.9,8.8,15.8,1.8,7.5,14.1,0.9,5.3,10.3,0.3
Chile,17910,20.6,8.1,15.88,87,69.7,67.9,71.5,18,16.5,19.3,21.47,109.776,100,20.9,9,1382,2228.6,463.4,100,76,23.1,6,12,6,7,4,35,28,24.9,31,31.7,35.7,27.8,31.7,35.7,27.8,24.7,27.8,21.6
China,1411415,17.7,646,10.43,80,68.7,68,69.3,15.8,15.1,16.5,17.732,22.914,85,19.2,5.2,440.8,841.1,158.9,93,93,51,32,40,7,39,20,140,6.2,5.9,6.5,21.5,41.5,1.5,21.5,41.5,1.5,19.2,37.2,1.2
Colombia,48653,23.9,15.8,18.14,137,67.1,64.4,69.8,17.1,15.8,18.3,19.742,11.652,90,19.2,7.2,459.2,1039.2,74.9,97,69,17.2,5,17,5,5,2,34,22.3,17.6,26.6,5.1,8,2.2,5.1,8,2.2,3.2,5,1.4
Comoros,796,40,0.1,8.66,225,56.6,55.4,57.8,12.6,11.9,13.2,2.715,6.285,36,27.9,7.4,58.8,123.2,43.9,80,27,18.6,6,22,52,13,1,94,7.8,3.3,12.2,17.1,26.8,7.5,11.1,18.9,3.3,6.2,11.3,1
Congo,5126,42.4,0.8,8.71,261,56.7,55.9,57.6,13.5,13.2,13.8,0,7.932,20,26.2,2.9,50,164.8,24.2,73,33,36.4,6,18,34,13,0,73,9.6,5.5,13.5,11.9,22.2,1.6,9.2,17.8,0.7,9.1,17.8,0.4
Costa Rica,4857,21.9,1.8,23.34,97,70.9,69.1,72.7,19,18,20,13.794,26.577,98,18.7,7.3,869.1,1262.2,184.7,100,77,16.7,5,13,3,4,1,27,25.7,21.1,30.4,6.2,9.4,3,6.2,9.4,3,4.9,7.4,2.4
Croatia,4213,14.7,3.2,13.99,88,69,66.4,71.7,16.3,14.4,18,31.728,61.92,97,32.4,6.8,902.1,1772.5,99,100,78,17.6,10,44,3,18,11,86,24.4,24.1,24.5,30.3,32.4,28.2,30.3,32.4,28.2,25.2,28,22.5
Cuba,11476,16.2,6.5,18.01,92,69.9,68.4,71.4,17.7,16.7,18.8,77.69,0,93,19,11.7,987.6,2485.8,103.5,95,78,21.6,13,34,18,13,12,90,24.6,18.9,30.3,18.6,27.8,9.4,18.6,27.8,9.4,15,22,8.1
Cyprus,1170,16.9,0.6,7.58,55,73.3,71.9,74.8,18.8,17.4,20.2,26.236,40.345,99,19.8,6.7,1731.7,2430.2,772.9,100,74,17.1,6,17,2,5,3,33,21.8,21.9,21.6,30,41.3,18.6,30,41.3,18.6,23.8,33.6,14
Czechia,10611,15.2,7.7,14.91,81,69.3,67,71.6,16.6,14.9,18.2,39.516,83.71,99,27.9,7.2,1475.9,2753.4,218.6,100,68,15.6,7,38,6,9,6,64,26,26.4,25.4,24,28.3,19.7,24,28.3,19.7,23.2,27.1,19.2
Denmark,5712,16.6,4.1,16.77,65,71.8,70.7,73,18.9,17.8,19.9,39.257,102.414,100,20.6,10.1,5800.2,5510,796.9,100,95,10.3,8,10,4,5,4,30,19.7,22.3,17,14.5,14.1,15,14.5,14.1,15,10.1,9.8,10.4
Dominican Republic,10649,29.6,3.1,17.36,160,65.2,63.1,67.5,17.2,16.2,18.2,0,14.547,84,21.5,6.1,433.2,985.7,193.8,97,55,13.3,2,21,5,8,2,38,27.6,21,34.1,6.2,7.8,4.6,6.2,7.8,4.6,6.2,7.8,4.5
Egypt,95689,33.5,21.4,5.59,165,61.1,59.9,62.4,12,11.3,12.7,8.217,19.412,94,25,5.3,105.8,613.8,63.5,99,83,79.6,7,42,10,13,2,73,32,22.7,41.1,18.9,37.5,0.2,18.9,37.5,0.2,14.9,29.8,0.1
El Salvador,6345,27.8,2.1,16.69,177,65.5,61.7,69,16.9,15.8,17.8,0,17.582,87,18.7,7.2,282.5,582.7,82.5,97,89,23.8,5,22,11,4,1,42,24.6,18.9,28.9,9.1,16.3,2,6.1,11,1.3,5,8.9,1
Eritrea,4955,42.1,0.8,3.6,252,57.4,56,59,13.2,12.7,13.7,0,11.852,12,29.1,2.9,32.9,59.3,19.5,52,49,41.1,8,20,47,18,1,95,5,2,7.6,5.6,11,0.2,4.5,8.9,0.1,3.7,7.3,0.1
Estonia,1312,16.2,1,13.54,119,68.2,64.6,71.4,16.9,14.3,18.9,34.152,63.522,99,27.4,6.4,1300.5,2153.3,307.8,100,74,7,3,43,3,6,5,60,21.2,20.3,21.8,23.5,30.2,16.7,23.5,30.2,16.7,22.2,28.4,16
Eswatini,1343,37.4,0.2,16.58,393,50.2,47.8,52.2,11.5,10.1,12.5,0,36.014,58,29.8,6.9,224.7,600.1,23.6,69,40,16.2,9,15,33,11,1,69,16.5,5.4,26.2,7.4,13.1,1.6,6.3,11.6,1,4.3,8,0.5
Ethiopia,102403,41.1,15.5,15.75,219,57.5,56.1,58.9,13.5,13,14,0.464,1.165,7,30.3,3.5,25.3,66.7,8.7,41,63,34,6,19,43,12,1,82,4.5,1.9,6.9,3.7,6.7,0.7,2.4,4.4,0.4,2.2,4.3,0.2
Fiji,899,28.6,0.2,9.25,186,61.3,59.6,63.3,12.7,11.6,13.9,8.6,30.175,95,21.7,3.5,188.4,322.8,29.4,94,63,10.5,7,51,12,5,2,76,30.2,25.1,35.3,16.4,26.9,5.9,16.4,26.9,5.9,14.5,23.7,5.2
Finland,5503,16.4,4.4,12.35,70,71.7,69.8,73.5,19,17.4,20.4,33.309,8.699,99,19.4,9.2,4205.7,4255.2,850.7,100,94,6.5,1,12,0,4,1,19,22.2,23.7,20.6,15,16.2,13.9,15,16.2,13.9,11.2,11.2,11.2
France,64721,18.2,47.4,15.69,71,73.4,71.8,74.9,20.6,19.1,21.9,32.239,105.952,99,22,11.3,4379.7,5011.2,411,100,82,12.4,4,10,3,4,4,25,21.6,22,21.1,28,29.6,26.5,28,29.6,26.5,22.4,24.6,20.2
Gambia,2039,45.5,0.2,15.31,262,54.4,53.7,55.2,11.7,11.3,12.2,1.021,15.447,39,29.1,3.3,23.3,55.8,5.1,78,38,32.3,6,25,52,13,1,97,10.3,5.6,14.8,12,22.7,1.3,12,23.5,0.5,10.2,20.2,0.2
Georgia,3925,18.9,2.3,5,160,64.9,61.5,68.4,14.6,12.7,16.2,50.055,40.174,90,26.3,7.6,293.1,773.3,160.5,98,58,24,16,107,5,49,7,184,21.7,19.2,23.8,24.3,45.1,3.6,24.3,45.1,3.6,21.9,40.5,3.2
Germany,81915,13.1,65.4,19.65,69,71.6,70.2,73,18.6,17.3,19.8,41.342,129.115,99,19.9,11.2,5033.5,5922.6,637.9,100,88,11.9,8,25,3,6,4,45,22.3,24.2,20.4,22.4,25.2,19.6,22.4,25.2,19.6,20,20.9,19.1
Ghana,28207,38.7,4.3,6.82,241,56.4,55.8,57,12.3,11.8,12.8,0,20.017,18,23.7,3.3,66.7,146.9,26.9,81,49,31.1,6,25,48,21,1,101,10.9,4.5,16.6,3,5.7,0.3,2.7,5.2,0.2,2.1,4.1,0.1
Greece,11184,14.3,8.4,9.98,66,72,70.5,73.6,18.8,17.5,20.1,52.527,35.01,99,19.1,8,1516.6,2295.3,527,100,57,16.4,12,29,11,15,9,77,24.9,24.2,25.4,30.8,39.4,22.3,30.8,39.4,22.3,26.5,31.7,21.3
Guyana,773,29.4,0.2,9.45,264,58.3,56.4,60.4,12.9,12.2,13.7,0,6.972,86,23.1,4.9,230.5,405.1,74.9,96,88,21.6,6,37,13,18,1,76,20.2,12.7,27.1,10.8,19.7,1.9,10.8,19.7,1.9,9.3,17.2,1.3
Haiti,10847,33.3,2.2,6.14,243,55.3,53.9,56.8,13.2,12.6,13.7,0.852,2.822,35,24.5,8,62.4,146.1,25.1,65,39,14.7,9,47,39,29,3,127,22.7,17.9,26.9,5.4,8.4,2.4,5.4,8.4,2.4,4,6.8,1.2
Hungary,9753,14.4,7.2,10.14,126,66.8,64.1,69.5,15.1,13,16.7,31.178,66.852,98,30,6.9,981.4,1979.4,263.9,100,68,16.3,10,52,2,11,9,83,26.4,28.2,24.6,25.5,29.5,21.5,25.5,29.5,21.5,24.1,27.8,20.4
Iceland,332,20.2,0.2,15.73,55,73,72.3,73.8,19.6,19,20.3,37.826,163.144,99,19.7,8.3,6086.3,4721.4,1003,100,83,5.9,3,10,1,2,1,17,21.9,24.2,19.4,10.4,10.1,10.8,10.4,10.1,10.8,8.8,9.4,8.3
India,1324171,28.2,349.9,5.05,178,59.3,58.7,59.9,12.9,12.5,13.3,0,14.509,60,25.8,3.5,69.3,253.3,43.2,93,78,68,37,49,30,19,4,141,3.9,2.7,5.1,20.9,33.1,8.6,10,18.9,1.2,3.1,5.9,0.3
Indonesia,261115,27.7,62.9,5.73,176,61.7,60.4,63,12.7,11.8,13.6,2.738,12.99,73,23.8,3,115,367.9,39.8,89,73,16.4,9,35,8,23,5,81,6.9,4.8,8.9,28.7,54.6,2.9,27.6,54.4,0.7,27.6,54.4,0.7
Iran (Islamic Republic of),80277,23.7,19.7,17.53,80,65.4,64.9,65.9,14.7,14.6,14.9,11.526,18.907,88,19.7,8.7,475.5,1748.4,198.5,95,85,34.4,3,21,4,6,1,35,25.8,19.3,32.2,11.3,20.1,2.5,9.1,17.3,0.9,3.2,6,0.5
Iraq,37203,40.5,5.4,6.46,174,59,57.4,60.6,13.2,12.6,13.6,0,16.498,94,25.2,4.2,210.3,494.8,122.1,97,58,60.1,2,19,7,6,2,35,30.4,23.4,37,17.4,32.9,2,16.2,30.6,1.8,10.6,20.5,0.7
Ireland,4726,21.7,2.6,13.44,62,72.1,71.1,73.2,19.2,18.2,20.1,31.498,163.726,91,19.7,7.2,4976.9,5544.7,611.2,97,64,8.7,4,10,2,3,2,20,25.3,25.1,25.5,19.4,21.3,17.5,19.4,21.3,17.5,17.8,19.6,16
Israel,8192,27.9,3.8,11.57,58,72.9,71.7,74.1,19.6,18.5,20.5,34.618,54.466,100,16.6,7.4,3144.6,3014.6,699.7,100,87,19.4,4,8,5,3,3,23,26.1,25.9,26.2,20.5,28.5,12.4,20.5,28.5,12.4,19.5,27.6,11.4
